id,name,fullName,insCode,stockType,instrumentId,cisin,lSecVal,cSecVal,created_date,cSecValReal,Holding
717,غبهنوش,بهنوش‌ ایران‌,1.71E+16,300,IRO1BENN0001,IRO1BENN0001,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:42:06.454Z,42,0
723,حبندر,دریایی و کشتیرانی خط دریابندر,6.37E+16,309,IRO7BNDP0001,IRO7BNDP0004,"حمل ونقل، انبارداري و ارتباطات",60,2023-08-31T05:42:06.910Z,60,0
733,بمولد,مولد نیروگاهی تجارت فارس,4.83E+16,303,IRO3FTJZ0001,IRO3FTJZ0000,"عرضه برق، گاز، بخاروآب گرم",40,2023-08-31T05:42:07.666Z,40,0
739,غزر,صنعتی زر ماکارون,4.37E+15,300,IRO1ZARM0001,IRO1ZARM0004,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:42:08.075Z,42,0
747,ثنور,سرمایه گذاری کوه نور,6.33E+16,309,IRO7NORP0001,IRO7NORP0003,"انبوه سازي، املاك و مستغلات",70,2023-08-31T05:42:08.628Z,70,0
1584,سیمرغ,سیمرغ,2.85E+16,300,IRO1SMRG0001,IRO1SMRG0007,زراعت و خدمات وابسته,1,2023-08-31T05:43:08.733Z,1,0
1588,حفاری,حفاری شمال,2.88E+16,300,IRO1HSHM0001,IRO1HSHM0008,استخراج نفت گاز و خدمات جنبي جز اكتشاف,11,2023-08-31T05:43:09.008Z,11,0
1592,چکاپا2,گروه صنایع کاغذ پارس,2.98E+16,300,IRO1KAPA0012,IRO1KAPA0015,محصولات كاغذي,21,2023-08-31T05:43:09.301Z,21,0
1596,لبوتان,گروه‌صنعتیبوتان‌,3.07E+16,300,IRO1BOTA0001,IRO1BOTA0008,ماشين آلات و تجهيزات,29,2023-08-31T05:43:09.582Z,29,0
1598,شسینا,صنایع‌شیمیاییسینا,3.10E+16,300,IRO1SHSI0001,IRO1SHSI0001,محصولات شيميايي,44,2023-08-31T05:43:09.709Z,44,0
1606,دشیمی,شیمی داروئی داروپخش‌,3.36E+16,300,IRO1DDPK0001,IRO1DDPK0001,مواد و محصولات دارويي,43,2023-08-31T05:43:10.296Z,43,0
1608,عالیس,بهار رز عالیس چناران,3.42E+16,303,IRO3ALSZ0001,IRO3ALSZ0002,محصولات غذايي و آشاميدني به جز قند و شكر,42,2023-08-31T05:43:10.419Z,42,0
1610,دتماد,تولیدمواداولیه‌داروپخش‌,3.46E+16,300,IRO1TMVD0001,IRO1TMVD0003,مواد و محصولات دارويي,43,2023-08-31T05:43:10.563Z,43,0
1618,وصندوق,سرمایه‌گذاریصندوق‌بازنشستگی,3.72E+16,300,IRO1SAND0001,IRO1SAND0008,شركتهاي چند رشته اي صنعتي,39,2023-08-31T05:43:11.074Z,39,0
